Feature,Mean_Abs_SHAP
遮荫率(%),0.027085686
有效停留空间面积(㎡),0.026150431
临街互动性,0.022360096
可承载停留人数(人),0.0146506885
视觉丰富度,0.014535025
气味环境,0.011158832
声环境舒适度,0.010111017
历史感知度,0.006850879
界面开放度,0.0062218304
