人数,行人集群数,停留密度,聚集比例,活力度
3.0,1.0,0.09375,0.6666666666666666,0.35247745605922054
7.0,3.0,0.161662817551963,1.0,0.576664306140891
3.0,1.0,0.1507537688442211,0.6666666666666666,0.35442554402303106
19.0,6.0,1.9,0.7368421052631579,0.6820679164863197
0.0,0.0,0.0,0.0,0.0
7.0,2.0,0.0,0.5714285714285714,0.3611754539145343
0.0,0.0,0.0,0.0,0.0
7.0,3.0,0.1440329218106995,0.8571428571428571,0.5108868320562376
6.0,1.0,0.075,0.8333333333333334,0.45855869687604445
3.0,1.0,0.15,1.0,0.5064747312050817
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.5252950639477905
1.0,0.0,0.2,0.0,0.01706312555267024
1.0,0.0,0.2,0.0,0.01706312555267024
7.0,3.0,0.0,1.0,0.5711395242632344
0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.5397342024099122
2.0,2.0,1.0,1.0,0.5397342024099122
0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.5252950639477905
9.0,4.0,0.75,1.0,0.631666066595823
2.0,1.0,0.6666666666666666,1.0,0.5139034898857654
2.0,0.0,0.0,0.0,0.020456362230910373
12.0,4.0,0.6896551724137931,0.6666666666666666,0.5082133952011689
8.0,3.0,0.7407407407407407,0.875,0.5496542092718266
6.0,2.0,0.0974025974025974,0.8333333333333334,0.47376343788064634
3.0,1.0,0.24,0.6666666666666666,0.35747550917893406
7.0,3.0,0.56,0.8571428571428571,0.5251023913919105
9.0,3.0,1.8,0.8888888888888888,0.6024187374214489
11.0,4.0,0.6365740740740741,0.8181818181818182,0.5652961582161196
6.0,2.0,1.0,0.8333333333333334,0.5046094533602857
16.0,6.0,1.28,0.875,0.6932261089532871
2.0,2.0,0.0416666666666666,1.0,0.50698342698159
7.0,2.0,0.7777777777777778,0.5714285714285714,0.38775579339259286
11.0,1.0,2.75,0.2727272727272727,0.34535457339893116
10.0,10.0,0.5,1.0,0.7199853979374893
0.0,0.0,0.0,0.0,0.0
4.0,4.0,0.1818181818181818,1.0,0.5611077052310043
2.0,2.0,0.125,1.0,0.5098313204970963
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.1428571428571428,0.6666666666666666,0.35415567902371536
0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.2325581395348837,0.2,0.21591352764112537
1.0,0.0,0.0277777777777777,0.0,0.011177478953957275
0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.5,1.0,0.5082077028547529
8.0,2.0,2.0,0.875,0.5782499061551332
2.0,2.0,0.2666666666666666,1.0,0.5146727394734569
6.0,6.0,0.2,1.0,0.6110637029713594
4.0,1.0,2.6666666666666665,1.0,0.6027092964888263
1.0,0.0,0.25,0.0,0.018771861661974004
12.0,3.0,6.0,0.8333333333333334,0.7512912894455149
5.0,4.0,0.1470588235294117,0.8,0.47890302671983787
3.0,3.0,1.0,1.0,0.564401521987489
2.0,1.0,1.0,1.0,0.5252950639477905
2.0,2.0,0.6666666666666666,1.0,0.5283426283478871
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0133333333333333,1.0,0.49157600472419627
5.0,0.0,0.25,0.0,0.05968458612379475
10.0,3.0,0.5524861878453038,0.8,0.5294601613771205
0.0,0.0,0.0,0.0,0.0
8.0,2.0,0.6504065040650406,0.5,0.3610436079666656
5.0,2.0,1.0,0.4,0.29668384111506785
2.0,1.0,0.6666666666666666,1.0,0.5139034898857654
1.0,0.0,0.2,0.0,0.01706312555267024
0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.06,1.0,0.503399006208335
2.0,0.0,0.1666666666666666,0.0,0.026152149261922917
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.0,1.0,0.49112034176171526
7.0,1.0,3.5,0.2857142857142857,0.3359978885126238
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.05,1.0,0.49282907787101904
2.0,1.0,0.08,1.0,0.49385431953660125
16.0,6.0,0.8121827411167513,0.9375,0.7057526366638935
2.0,0.0,2.0,0.0,0.08880580660306092
0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.04,0.0,0.011595170002898197
4.0,3.0,0.2,0.75,0.43323371508691316
4.0,2.0,0.0952380952380952,0.5,0.30115815736669854
2.0,2.0,0.1111111111111111,1.0,0.5093566715778453
0.0,0.0,0.0,0.0,0.0
2.0,0.0,1.0,0.0,0.054631084416985644
3.0,1.0,1.0,0.6666666666666666,0.3834482980403513
3.0,0.0,0.1875,0.0,0.03709230375625468
4.0,3.0,2.0,0.75,0.4947482150218486
5.0,2.0,2.5,1.0,0.6216808290353907
