,有效停留空间面积(㎡),可承载停留人数(人),遮荫率(%),声环境舒适度,气味环境,视觉丰富度,历史感知度,界面开放度,临街互动性
有效停留空间面积(㎡),0.0,0.0013667458,0.0012696926,0.0013821489,0.0008730042,0.0007640759,0.0013477515,0.0007993247,0.00037482363
可承载停留人数(人),0.0013667458,0.0,0.00050230185,0.00039979143,0.00029043303,0.0006581285,0.00038208018,0.00030307905,0.00022978663
遮荫率(%),0.0012696926,0.00050230185,0.0,0.00042107646,0.0009894111,0.00040650848,0.00029705127,0.00046399902,0.00039748603
声环境舒适度,0.0013821489,0.00039979143,0.00042107646,0.0,0.00054846436,0.00048211456,0.0004929007,0.0001753424,0.00024017598
气味环境,0.0008730042,0.00029043303,0.0009894111,0.00054846436,0.0,0.00052134536,0.0006316952,0.0006115405,0.00027141577
视觉丰富度,0.0007640759,0.0006581285,0.00040650848,0.00048211456,0.00052134536,0.0,0.000964574,0.000965546,0.0005800573
历史感知度,0.0013477515,0.00038208018,0.00029705127,0.0004929007,0.0006316952,0.000964574,0.0,0.00023446737,0.0005445817
界面开放度,0.0007993247,0.00030307905,0.00046399902,0.0001753424,0.0006115405,0.000965546,0.00023446737,0.0,0.00025620495
临街互动性,0.00037482363,0.00022978663,0.00039748603,0.00024017598,0.00027141577,0.0005800573,0.0005445817,0.00025620495,0.0
