序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,c085e241-d9da-458d-8801-61842712ae81,c543a04a-1c12-47b5-af2f-8f6a9dcfab6e,上海市徐汇区湖南路街道乌鲁木齐中路143号,1,,独立,青年,女,落座,观察；饮食；休憩,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,2026-08-31 04:37:26
2,db228e8d-b191-473b-8927-aaea4e13b2fb,c543a04a-1c12-47b5-af2f-8f6a9dcfab6e,上海市徐汇区湖南路街道乌鲁木齐中路143号,2,,独立,中年,男,落座,观察；饮食；休憩,1,0,0,0,0,0,1,1,0,0,0,0,0,0,,2026-08-31 04:37:34
3,b6fe936a-0b89-4df3-8dbd-06b9a8f862ee,c543a04a-1c12-47b5-af2f-8f6a9dcfab6e,上海市徐汇区湖南路街道乌鲁木齐中路143号,3,,独立,青年,男,站立/倚靠,等待,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2026-08-31 04:37:47
4,71d0a211-2dd6-4eb1-a931-6abdc091b748,c543a04a-1c12-47b5-af2f-8f6a9dcfab6e,上海市徐汇区湖南路街道乌鲁木齐中路143号,4,,独立,青年,女,站立/倚靠,等待,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2026-08-31 04:38:01
5,829229d8-a955-4839-9319-503311217645,c543a04a-1c12-47b5-af2f-8f6a9dcfab6e,上海市徐汇区湖南路街道乌鲁木齐中路143号,5,,独立,青年,女,站立/倚靠,等待,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,2026-08-31 04:38:33
