序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,c91e0e7f-8ea4-4b0d-b8ef-e4b9e12709f7,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,1,1,集聚,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:10:16
2,a884b4ac-6ac7-4ff7-a517-2c98fab3467c,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,2,1,集聚,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:10:25
3,e364bbd9-b802-411a-bed5-90f930024abd,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,3,2,集聚,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:10:40
4,1548b496-e6cb-41e0-9b4b-d72b4edee9ca,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,4,2,集聚,青年,男,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:10:47
5,c06b64bd-86fc-49a4-aaae-0e47fcd72f0f,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,5,3,集聚,青年,女,落座,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:11:39
6,352686a3-cef2-4eb6-b7c1-f968281a997b,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,6,3,集聚,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:11:52
7,c24a4fc8-58e9-41e7-af2a-756a58c98f87,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,7,3,集聚,青年,男,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:12:04
8,af585c57-fb48-477e-a541-4a55fc5d7437,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,8,4,集聚,中年,男,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:12:49
9,6b02e28f-0f8b-40ca-8c22-33240685082b,93b2c7f9-7391-4d3b-b5bf-ed311a5a716a,上海市徐汇区湖南路街道武康路137号,9,4,集聚,中年,男,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:13:06
