Feature,Mean_Abs_SHAP
遮荫率(%),0.021685928
可承载停留人数(人),0.012539889
历史感知度,0.012169959
声环境舒适度,0.008690348
临街互动性,0.008415006
视觉丰富度,0.0078094024
气味环境,0.007618852
有效停留空间面积(㎡),0.0071603083
界面开放度,0.0064890226
