人数,行人集群数,停留密度,聚集比例,活力度,混合度
4.0,2.0,0.1015228426395939,1.0,0.529485357397496,0.5257552393606434
3.0,2.0,0.217391304347826,0.6666666666666666,0.3711420017481531,0.3707071901853827
4.0,2.0,0.2162162162162162,0.5,0.3052925510417192,0.3083889124485374
3.0,1.0,0.09375,0.6666666666666666,0.3524774560592205,0.3502352160339076
7.0,3.0,0.161662817551963,1.0,0.576664306140891,0.5788001614734302
3.0,1.0,0.1507537688442211,0.6666666666666666,0.354425544023031,0.35248699051416404
19.0,6.0,1.9,0.7368421052631579,0.6820679164863197,0.7177696050066789
0.0,0.0,0.0,0.0,0.0,0.0
7.0,2.0,0.0,0.5714285714285714,0.3611754539145343,0.36662885270950585
0.0,0.0,0.0,0.0,0.0,0.0
7.0,3.0,0.1440329218106995,0.8571428571428571,0.5108868320562376,0.5147046080570779
6.0,1.0,0.075,0.8333333333333334,0.4585586968760444,0.45854159608707157
3.0,1.0,0.15,1.0,0.5064747312050817,0.5003885269181658
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.5252950639477905,0.5222716031385831
1.0,0.0,0.2,0.0,0.0170631255526702,0.019594237511777867
1.0,0.0,0.2,0.0,0.0170631255526702,0.019594237511777867
7.0,3.0,0.0,1.0,0.5711395242632344,0.5724141239473031
0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0,1.0,1.0,0.5397342024099122,0.53785947331797
2.0,2.0,1.0,1.0,0.5397342024099122,0.53785947331797
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0.5252950639477905,0.5222716031385831
9.0,4.0,0.75,1.0,0.631666066595823,0.6410162403943108
2.0,1.0,0.6666666666666666,1.0,0.5139034898857654,0.5091042019537593
2.0,0.0,0.0,0.0,0.0204563622309103,0.023387593601767093
12.0,4.0,0.6896551724137931,0.6666666666666666,0.5082133952011689,0.5257825651998724
8.0,3.0,0.7407407407407407,0.875,0.5496542092718266,0.5578945702946477
6.0,2.0,0.0974025974025974,0.8333333333333334,0.4737634378806463,0.4750144182292047
3.0,1.0,0.24,0.6666666666666666,0.357475509178934,0.35601241330374905
7.0,3.0,0.56,0.8571428571428571,0.5251023913919105,0.5311362242516704
9.0,3.0,1.8,0.8888888888888888,0.6024187374214489,0.6175952466356793
11.0,4.0,0.6365740740740741,0.8181818181818182,0.5652961582161196,0.5792334534721689
6.0,2.0,1.0,0.8333333333333334,0.5046094533602857,0.5106690045543447
16.0,6.0,1.28,0.875,0.6932261089532871,0.7195104842677698
2.0,2.0,0.0416666666666666,1.0,0.50698342698159,0.5000031949116014
7.0,2.0,0.7777777777777778,0.5714285714285714,0.3877557933925928,0.3973527888074282
11.0,1.0,2.75,0.2727272727272727,0.3453545733989311,0.3738854045283459
10.0,10.0,0.5,1.0,0.7199853979374893,0.7363617073828977
0.0,0.0,0.0,0.0,0.0,0.0
4.0,4.0,0.1818181818181818,1.0,0.5611077052310043,0.5601028225521251
2.0,2.0,0.125,1.0,0.5098313204970963,0.5032950452078074
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0
3.0,1.0,0.1428571428571428,0.6666666666666666,0.3541556790237153,0.352175056387029
0.0,0.0,0.0,0.0,0.0,0.0
10.0,1.0,0.2325581395348837,0.2,0.2159135276411253,0.23047118431497013
1.0,0.0,0.0277777777777777,0.0,0.0111774789539572,0.01279108023295219
0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,0.5,1.0,0.5082077028547529,0.5025205013613474
