序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,fa5c3c1f-0277-4d68-8acc-824a240ef8a7,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,1,,独立,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:09:12
2,d07777ab-3350-4de7-b20e-1f2956a1acc0,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,2,,独立,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:09:23
3,36c83b63-96b5-46d8-9894-b97be9a2de2b,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,3,,独立,青年,女,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:09:29
4,4e5afe2a-96ad-4493-994d-2f50efca94c2,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,4,,独立,青年,女,站立/倚靠,光顾；打卡,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:09:37
5,629dc63d-d097-4ef9-9e5f-470af96bab78,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,5,,独立,青年,女,站立/倚靠,光顾；打卡,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:09:42
6,e9fd923d-0def-49e2-a4f5-0318860c9d00,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,6,,独立,青年,女,站立/倚靠,光顾；打卡,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:09:55
7,3759288e-4445-450a-b02a-abc69917f905,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,7,,独立,青年,男,站立/倚靠,打卡,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:10:11
8,4616241c-6864-4b08-9edb-24bbdee84d0a,944a3f76-8df4-490a-9e85-913556ada319,上海市徐汇区天平路街道永康路43号,8,,独立,青年,女,站立/倚靠,光顾；打卡,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,2026-08-30 08:10:21
