年龄混合度,活动丰富度,姿态丰富度,社交状态混合度,身份倾向混合度,混合度
0.0,0.2801852553855322,0.0,0.5916727785823274,0.6945586406095402,0.3360967316202913
0.75,0.5579943697173448,1.0,0.0,0.8338762850937339,0.6340809665584295
0.0,0.7332729733971327,0.0,0.0,0.6633728471522815,0.25812939166305404
0.7092822215997983,0.457399640062235,0.8960382325345574,0.9886994082884974,0.4598130184330752,0.7257841069950954
0.0,0.0,0.0,0.0,0.9992675824686132,0.2328453876958196
0.3420192178195208,0.0,0.0,0.0,0.9865488929530056,0.2807114346459425
0.0,0.3366807583476677,0.0,0.0,0.3439773663383984,0.12769833238863948
0.75,0.5811050828133786,1.0,0.0,0.7975181511937129,0.6288726345073068
0.0,0.4989790768778122,0.0,0.0,0.3167440393209569,0.1442723118520685
0.325011210824177,0.3559859147087442,0.0,0.9182958340544894,0.7717383389152789,0.48743840082495893
0.4591479170272447,0.3559859147087442,0.0,0.9182958340544894,0.9634063080848104,0.5520350448590976
0.603759374819711,0.3816143508740156,0.4138168503036338,0.9182958340544894,0.3609085859363103,0.5400065776515364
0.75,0.8255240193441332,1.0,0.9182958340544894,0.9923738600630072,0.9178305892224763
0.3609640474436811,0.7226224014073106,0.0,0.7219280948873623,0.592962532956356,0.4582001512454029
0.0,0.4855954687078665,0.6840384356390417,0.6840384356390417,0.7084042073707029,0.5600325080019558
0.0,0.0,0.0,0.0,0.1653370598053885,0.038526189047148246
0.0,0.0,0.0,0.0,0.7259289930319007,0.16915310852432064
0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3666364866985663,0.0,0.0,0.9265041753041198,0.3419750402206748
0.320103216680235,0.6686519922890752,0.5225593745369408,0.5225593745369408,0.8311225883258554,0.5850024385263295
0.0,0.3666364866985663,0.0,0.0,0.9486362981974186,0.2728239203529438
0.0,0.0,0.0,0.0,0.9990670585534612,0.23279866240463132
0.7244078178625923,0.3612205823921752,0.0,0.5916727785823274,0.9896200845827344,0.5239535687604009
1.0,0.3559859147087442,0.8112781244591328,0.8112781244591328,0.9658170152789975,0.8110389519718915
0.5783898247235197,0.692179806992562,0.0,0.4689955935892811,0.6259286240386651,0.4363193603550799
0.5,0.5446294440529384,1.0,0.8112781244591328,0.9304579140819144,0.8022200823772266
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.3666364866985663,0.0,0.0,0.5275230968798514,0.17469778442608705
0.4854752972273344,0.494441528198206,0.0,0.0,0.9764203073483516,0.36949632792597964
0.0,0.0,0.9182958340544894,0.0,0.1653370598053885,0.2676520246050461
0.0,0.3366807583476677,0.0,0.0,0.5330428716634853,0.17175363014839506
0.0,0.3666364866985663,0.0,0.0,0.8921642832488278,0.25966503433946525
0.0,0.5579943697173448,0.9182958340544894,0.9182958340544894,1.0,0.7499784832195424
0.4887089087640858,0.7931574666298086,0.8739810481273579,0.9975025463691152,0.907816794125914,0.841311461111467
0.6893917467430878,0.4944415281982061,0.9852281360342516,0.8631205685666311,0.8528228252175852,0.8133044760456255
0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.9992675824686132,0.2328453876958196
0.792481250360578,0.5724215263110235,0.9182958340544894,0.0,0.9946143741673634,0.6595001710746632
0.0,0.0,0.0,0.0,0.7259289930319007,0.16915310852432064
0.0,0.3666364866985663,0.9182958340544894,0.0,0.6222742898508344,0.4259021689622942
0.0,0.3559859147087442,1.0,0.0,0.9238238695966944,0.5150501574260997
0.0,0.7033172450462342,0.9182958340544894,0.9182958340544894,0.6954178295565672,0.6995284564779872
0.4056390622295664,0.5579943697173448,0.0,1.0,0.7687505304370182,0.5458512302850342
0.0,0.3559859147087442,0.0,0.9182958340544894,0.8603556316921056,0.45978561761949166
0.0,0.5740047014868306,0.9852281360342516,0.0,0.8207492347593244,0.5181349863850188
0.4591479170272447,0.3559859147087442,0.0,0.9182958340544894,0.9033810737579748,0.5380482016915885
0.2427303803729567,0.6773316222721729,0.2974722489192897,0.8314743880097293,0.7420271664750689,0.5681266653185044
0.0,0.0,0.0,0.0,0.0,0.0
