序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,4fb41f51-2aaf-4bb9-8ec0-21579ca88c1f,6d8cfabb-0a19-4c7e-828e-c2cc18774855,上海市徐汇区天平路街道宝庆路21号,1,1,集聚,青年,男,落座,光顾；打卡；社交,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,2026-08-29 09:43:56
2,f316830e-0972-444d-8ccc-c195574dd04d,6d8cfabb-0a19-4c7e-828e-c2cc18774855,上海市徐汇区天平路街道宝庆路21号,2,2,集聚,青年,女,落座,光顾；打卡；社交,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,2026-08-29 09:44:10
