序号,行人记录ID,点位ID,完整地址,点位内人员序号,行为集群编号,社交状态,年龄,性别,姿态,具体行为（文本）,行为_观察,行为_光顾,行为_等待,行为_打卡,行为_社交,行为_争吵/纠纷,行为_饮食,行为_休憩,行为_避雨/遮阳,行为_工作,行为_娱乐,行为_运动,行为_照看,行为_整理,补充记录,记录时间
1,c781a9e6-286b-45b8-9706-0424f024f17c,efa4ed2b-0527-4e9a-8dc2-0bf3f6d217af,上海市徐汇区天平路街道嘉善路53号,1,1,集聚,青年,男,落座,社交；休憩,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,2026-08-30 08:21:02
2,f0a5688f-fda8-482b-af74-ed32a0e2cb5c,efa4ed2b-0527-4e9a-8dc2-0bf3f6d217af,上海市徐汇区天平路街道嘉善路53号,2,2,集聚,青年,男,落座,等待；社交；休憩,0,0,1,0,1,0,0,1,0,0,0,0,0,0,,2026-08-30 08:21:13
3,f19e9fdf-5481-44ba-8920-49efe01f827d,efa4ed2b-0527-4e9a-8dc2-0bf3f6d217af,上海市徐汇区天平路街道嘉善路53号,3,3,集聚,青年,男,落座,社交；休憩,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,2026-08-30 08:21:26
4,31f82fbd-8444-46b6-b70a-6c0c1155368e,efa4ed2b-0527-4e9a-8dc2-0bf3f6d217af,上海市徐汇区天平路街道嘉善路53号,4,,独立,中年,女,落座,休憩,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2026-08-30 08:21:46
