,有效停留空间面积(㎡),可承载停留人数(人),遮荫率(%),声环境舒适度,气味环境,视觉丰富度,历史感知度,界面开放度,临街互动性
有效停留空间面积(㎡),0.0,0.0012553991,0.0018312422,0.00073067134,0.00090162456,0.00059589924,0.0005443892,0.0003618821,0.00096232817
可承载停留人数(人),0.0012553991,0.0,0.0008383343,0.00066277693,0.0012302748,0.00029065087,0.00090885983,0.0004680472,0.00059193105
遮荫率(%),0.0018312422,0.0008383343,0.0,0.0011590588,0.0009820292,0.0006105548,0.00072405225,0.0006890547,0.00094413536
声环境舒适度,0.00073067134,0.00066277693,0.0011590588,0.0,0.0004503817,0.00032536915,0.00019451068,0.0003182744,0.00064618216
气味环境,0.00090162456,0.0012302748,0.0009820292,0.0004503817,0.0,0.00023069547,0.00029668197,0.00041257672,0.00011190499
视觉丰富度,0.00059589924,0.00029065087,0.0006105548,0.00032536915,0.00023069547,0.0,0.00047893988,0.00045235312,0.00034154687
历史感知度,0.0005443892,0.00090885983,0.00072405225,0.00019451068,0.00029668197,0.00047893988,0.0,0.00027232856,0.00045953976
界面开放度,0.0003618821,0.0004680472,0.0006890547,0.0003182744,0.00041257672,0.00045235312,0.00027232856,0.0,0.0010239409
临街互动性,0.00096232817,0.00059193105,0.00094413536,0.00064618216,0.00011190499,0.00034154687,0.00045953976,0.0010239409,0.0
